City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,huanren,41.2647,125.3667,46.33,94,62,0.67,CN,1731629964
97,longyearbyen,78.2186,15.6401,31.84,69,75,26.46,SJ,1731629965
98,nuoro,40.3211,9.3297,43.34,94,83,3.11,IT,1731629966
99,selfoss,63.9331,-20.9971,35.04,57,100,25.93,IS,1731629967
100,idukki,9.85,76.9667,64.89,96,98,3.94,IN,1731629970
101,bredasdorp,-34.5322,20.0403,57.24,88,96,4.88,ZA,1731629971
102,clewiston,26.7542,-80.9337,74.86,67,10,5.84,US,1731629860
103,ta`u,-14.2336,-169.5144,80.1,77,81,21.41,AS,1731629973
104,kasserine,35.1676,8.8365,60.93,53,1,6.82,TN,1731629975
105,douglas,41.3,-96.167,51.78,65,0,3.44,US,1731629976
106,imbituba,-28.24,-48.6703,65.82,74,0,11.79,BR,1731629978
107,farah,32.5,62.5,47.84,53,23,2.3,AF,1731629979
108,cidreira,-30.1811,-50.2056,69.37,68,1,15.19,BR,1731629980
109,bridgewater,44.3835,-64.5155,37.08,77,96,19.57,CA,1731629981
110,lihue,21.9789,-159.3672,80.19,68,100,21.85,US,1731629982
111,weiser,44.251,-116.9693,52.32,57,70,4.12,US,1731629983
